"x_wgs84"	"y_wgs84"	"x_l2e"	"y_l2e"	"MMTP_2007"	"MMTP_2008"	"MMTP_2009"	"MMTP_2010"	"MMTP_2011"	"MMTP_2012"	"MMTP_2013"	"MMTP_2014"	"MMTP_2015"	"MMTP_2016"	"MMTP_2017"
9.86944	41.19	1233840	1606160	28.095	25.201	25.195	26.799	25.935	26.347	25.632	26.467	27.372	27.422	27.422
10.1068	41.19	1253740	1608110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.3442	41.1895	1273630	1610060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.5816	41.1884	1293540	1612000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.819	41.1867	1313460	1613940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.1169	40.4988	135371	1514750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.88449	40.5297	155369	1516850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.65189	40.5601	175363	1518950	26.602	25.725	25.399	26.234	24.8	25.751	25.308	26.363	27.707	27.941	27.941
-2.41909	40.5899	195354	1521050	26.427	25.496	25.173	25.992	24.563	25.474	25.08	26.111	27.457	27.715	27.715
-2.18609	40.6192	215341	1523140	26.312	25.317	24.994	25.811	24.382	25.255	24.92	25.927	27.271	27.559	27.559
-1.95291	40.6479	235325	1525230	26.147	25.038	24.717	25.542	24.114	24.907	24.705	25.659	26.988	27.346	27.346
-1.71955	40.6761	255306	1527320	26.106	24.888	24.569	25.425	23.994	24.706	24.661	25.558	26.858	27.303	27.303
-1.48601	40.7037	275284	1529410	26.472	25.184	24.894	25.827	24.391	25.003	25.187	25.996	27.231	27.8	27.8
-1.25228	40.7308	295258	1531490	26.355	25.057	24.769	25.755	24.311	24.829	25.151	25.922	27.122	27.756	27.756
-1.01839	40.7573	315229	1533570	25.68	24.417	24.1	25.093	23.645	24.081	24.412	25.209	26.416	27.037	27.037
-0.784317	40.7833	335198	1535650	26.234	24.862	24.583	25.633	24.208	24.555	25.013	25.764	26.919	27.594	27.594
-0.550062	40.8087	355165	1537720	26.629	25.15	24.897	25.998	24.59	24.845	25.4	26.129	27.24	27.936	27.936
-0.315598	40.8335	375132	1539800	27.106	25.521	25.286	26.418	25.041	25.234	25.853	26.571	27.632	28.34	28.34
-0.0809492	40.8578	395099	1541870	27.85	26.125	25.905	27.076	25.76	25.886	26.552	27.252	28.259	28.959	28.959
0.153853	40.8816	415063	1543930	27.905	26.107	25.858	27.038	25.733	25.835	26.507	27.215	28.227	28.944	28.944
0.388642	40.9047	435023	1546000	28.481	26.559	26.299	27.463	26.245	26.319	27.007	27.769	28.686	29.363	29.363
0.623511	40.9274	454977	1548060	29.209	27.133	26.882	28.013	26.896	26.944	27.656	28.489	29.297	29.921	29.921
0.858686	40.9495	474926	1550110	29.497	27.243	26.979	28.123	26.922	26.973	27.732	28.402	29.453	30.279	30.279
1.09401	40.971	494873	1552170	29.735	27.1	26.859	27.975	26.691	26.707	27.559	28.068	29.443	30.516	30.516
1.32949	40.9919	514819	1554220	28.708	26.165	25.759	27.071	25.618	25.653	26.477	26.91	28.359	29.41	29.41
1.56514	41.0123	534765	1556270	28.257	25.748	25.249	26.693	25.228	25.217	26.005	26.417	27.81	28.724	28.724
1.80093	41.0322	554710	1558320	28.212	25.684	25.169	26.646	25.212	25.165	25.94	26.361	27.71	28.546	28.546
2.03685	41.0514	574653	1560360	28.189	25.667	25.137	26.654	25.251	25.17	25.922	26.341	27.64	28.391	28.391
2.27289	41.0701	594593	1562400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.50888	41.0884	614530	1564440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.74499	41.1059	634462	1566480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.98133	41.123	654392	1568510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.21779	41.1394	674320	1570540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.45436	41.1553	694246	1572570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.69103	41.1707	714171	1574600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.92781	41.1855	734094	1576620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.16468	41.1997	754016	1578640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.40164	41.2133	773937	1580660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.6387	41.2264	793856	1582670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.87584	41.2389	813773	1584680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.11307	41.2509	833690	1586690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.35037	41.2623	853606	1588690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.58775	41.2731	873520	1590690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.8252	41.2834	893434	1592690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.06271	41.293	913346	1594690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.30029	41.3022	933258	1596680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.53794	41.3107	953169	1598670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.77563	41.3187	973079	1600660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.01338	41.3261	992989	1602650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.25118	41.333	1012900	1604630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.48902	41.3393	1032810	1606610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.72691	41.345	1052710	1608580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.96483	41.3501	1072620	1610550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.20278	41.3547	1092530	1612530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.44076	41.3587	1112440	1614490	26.635	23.344	23.231	24.752	23.526	24.06	23.769	24.371	26.461	26.826	26.826
8.67877	41.3622	1132340	1616460	26.269	22.95	22.898	24.433	23.232	23.758	23.384	24.024	26.096	26.465	26.465
8.9168	41.365	1152250	1618420	26.25	22.932	22.885	24.427	23.201	23.755	23.356	23.997	26.064	26.425	26.425
9.15485	41.3673	1172160	1620380	26.705	23.479	23.395	25.023	23.896	24.411	23.923	24.619	26.379	26.679	26.679
9.39291	41.3691	1192060	1622330	27.118	23.963	23.838	25.521	24.438	24.947	24.411	25.13	26.689	26.943	26.943
