qd;quadrat;xl2e;yl2e;annee;nb_frenaie;volume17
0439-2332;LE MANS                                                     ;439000;2332000;2016;0;0
0439-2348;BALLON                                                      ;439000;2348000;;0;0
0439-2364;BEAUMONT-SUR-SARTHE                                         ;439000;2364000;2016;0;25,1072
0439-2380;ALENCON                                                     ;439000;2380000;2016;0;27,5746
0439-2396;SEES                                                        ;439000;2396000;2015;0;104,792
0439-2412;MORTREE                                                     ;439000;2412000;2015;0;40,4191
0439-2428;TRUN                                                        ;439000;2428000;2014;0;396,698
0439-2444;VIMOUTIERS                                                  ;439000;2444000;2016;0;2,12184
0439-2460;LISIEUX                                                     ;439000;2460000;2015;1;30,2277
0439-2476;PONT-L'EVEQUE                                               ;439000;2476000;2013;0;163,967
0439-2492;TROUVILLE-SUR-MER                                           ;439000;2492000;2015;0;34,9915
0439-2508;LE HAVRE                                                    ;439000;2508000;;0;28,0924
0439-2524;SAINT-JOUIN-BRUNEVAL                                        ;439000;2524000;;0;0
0455-1740;CASTILLON-DE-LARBOUST                                       ;455000;1740000;;0;0
0455-1756;BAGNERES-DE-LUCHON                                          ;455000;1756000;;0;366,568
0455-1772;MAULEON-BAROUSSE                                            ;455000;1772000;;1;1537,85
0455-1788;SAINT-LAURENT-DE-NESTE                                      ;455000;1788000;;0;729,295
0455-1804;CASTELNAU-MAGNOAC                                           ;455000;1804000;;0;78,3261
0455-1820;MASSEUBE                                                    ;455000;1820000;;0;0
0455-1836;LABEJAN                                                     ;455000;1836000;;0;0
0455-1852;AUCH                                                        ;455000;1852000;;0;15,9116
0455-1868;JEGUN                                                       ;455000;1868000;;0;0
0455-1884;LA ROMIEU                                                   ;455000;1884000;;0;0
0455-1900;LAPLUME                                                     ;455000;1900000;;0;37,5077
0455-1916;PRAYSSAS                                                    ;455000;1916000;;0;134,212
0455-1932;SAINTE-LIVRADE-SUR-LOT                                      ;455000;1932000;;0;9,19516
0455-1948;MONBAHUS                                                    ;455000;1948000;;0;38,2546
0455-1964;LAUZUN                                                      ;455000;1964000;;0;177,653
0455-1980;BERGERAC                                                    ;455000;1980000;;0;18,5234
0455-1996;MONTAGNAC-LA-CREMPSE                                        ;455000;1996000;;0;13,005
0455-2012;SAINT-ASTIER                                                ;455000;2012000;;0;206,543
0455-2028;MONTAGRIER                                                  ;455000;2028000;;0;152,732
0455-2044;MAREUIL                                                     ;455000;2044000;;0;145,618
0455-2060;JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT                       ;455000;2060000;;0;11,5818
0455-2076;MONTBRON                                                    ;455000;2076000;;0;0
0455-2092;MONTEMBOEUF                                                 ;455000;2092000;2017;0;118,135
0455-2108;CHAMPAGNE-MOUTON                                            ;455000;2108000;2016;0;22,1912
0455-2124;CHARROUX                                                    ;455000;2124000;;0;0
0455-2140;USSON-DU-POITOU                                             ;455000;2140000;;0;3,97856
0455-2156;LA VILLEDIEU-DU-CLAIN                                       ;455000;2156000;2016;0;115,117
0455-2172;POITIERS                                                    ;455000;2172000;2017;0;0
0455-2188;SAINT-GEORGES-LES-BAILLARGEAUX                              ;455000;2188000;2016;0;0
0455-2204;NAINTRE                                                     ;455000;2204000;2016;0;0
0455-2220;SAINT-GERVAIS-LES-TROIS-CLOCHERS                            ;455000;2220000;;0;0
0455-2236;L'ILE-BOUCHARD                                              ;455000;2236000;;0;61,257
0455-2252;AZAY-LE-RIDEAU                                              ;455000;2252000;2016;0;25,8728
0455-2268;LANGEAIS                                                    ;455000;2268000;;0;15,4721
0455-2284;CHATEAU-LA-VALLIERE                                         ;455000;2284000;;0;17,9162
0455-2300;CHATEAU-DU-LOIR                                             ;455000;2300000;2016;0;47,9463
0455-2316;LE GRAND-LUCE                                               ;455000;2316000;;0;0
0455-2332;PARIGNE-L'EVEQUE                                            ;455000;2332000;2016;0;0
0455-2348;BONNETABLE                                                  ;455000;2348000;2016;0;0
0455-2364;MAROLLES-LES-BRAULTS                                        ;455000;2364000;2016;0;128,242
0455-2380;MAMERS                                                      ;455000;2380000;2016;1;43,5877
0455-2396;BAZOCHES-SUR-HOENE                                          ;455000;2396000;2012;0;183,386
0455-2412;LE MERLERAULT                                               ;455000;2412000;2014;0;100,838
0455-2428;GACE                                                        ;455000;2428000;2015;0;374,852
0455-2444;ORBEC                                                       ;455000;2444000;2015;0;32,3571
0455-2460;THIBERVILLE                                                 ;455000;2460000;2014;0;224,089
0455-2476;BLANGY-LE-CHATEAU                                           ;455000;2476000;2013;0;63,9089
0455-2492;BEUZEVILLE                                                  ;455000;2492000;2013;0;160,573
0455-2508;SAINT-ROMAIN-DE-COLBOSC                                     ;455000;2508000;2013;0;16,0772
0455-2524;FECAMP                                                      ;455000;2524000;2013;0;352,762
0455-2540;SENNEVILLE-SUR-FECAMP                                       ;455000;2540000;;0;0
0471-1740;BAGNERES-DE-LUCHON EST                                      ;471000;1740000;;0;0
0471-1756;MELLES                                                      ;471000;1756000;;0;0
0471-1772;ASPET                                                       ;471000;1772000;;0;621,036
0471-1788;SAINT-GAUDENS                                               ;471000;1788000;;1;609,511
0471-1804;BOULOGNE-SUR-GESSE                                          ;471000;1804000;;0;98,2968
0471-1820;L'ISLE-EN-DODON                                             ;471000;1820000;;0;149,311
0471-1836;SARAMON                                                     ;471000;1836000;;0;0
0471-1852;AUBIET                                                      ;471000;1852000;;0;99,2131
0471-1868;FLEURANCE                                                   ;471000;1868000;;0;0
0471-1884;LECTOURE                                                    ;471000;1884000;;0;0
0471-1900;ASTAFFORT                                                   ;471000;1900000;;0;0
0471-1916;AGEN                                                        ;471000;1916000;;0;26,1435
0471-1932;VILLENEUVE-SUR-LOT                                          ;471000;1932000;;0;9,1052
0471-1948;MONFLANQUIN                                                 ;471000;1948000;;0;198,935
0471-1964;VILLEREAL                                                   ;471000;1964000;;0;89,9314
0471-1980;LALINDE                                                     ;471000;1980000;;0;0
0471-1996;SAINT-LAURENT-DES-BATONS                                    ;471000;1996000;;0;33,1315
0471-2012;VERGT                                                       ;471000;2012000;;0;0
0471-2028;PERIGUEUX                                                   ;471000;2028000;;0;0
0471-2044;BRANTOME                                                    ;471000;2044000;;0;158,19
0471-2060;NONTRON                                                     ;471000;2060000;2016;0;113,471
0471-2076;SAINT-MATHIEU                                               ;471000;2076000;;0;173,241
0471-2092;CHABANAIS                                                   ;471000;2092000;;0;1,41456
0471-2108;CONFOLENS                                                   ;471000;2108000;;0;75,5643
0471-2124;AVAILLES-LIMOUZINE                                          ;471000;2124000;;0;75,0775
0471-2140;LE VIGEANT                                                  ;471000;2140000;;0;0
0471-2156;LUSSAC-LES-CHATEAUX                                         ;471000;2156000;2017;0;47,5604
0471-2172;CHAUVIGNY                                                   ;471000;2172000;2017;0;149,068
0471-2188;ARCHIGNY                                                    ;471000;2188000;2016;0;30,6754
0471-2204;CHATELLERAULT                                               ;471000;2204000;;0;0
0471-2220;DESCARTES                                                   ;471000;2220000;;0;0
0471-2236;SAINTE-MAURE-DE-TOURAINE                                    ;471000;2236000;;0;0
0471-2252;MONTBAZON                                                   ;471000;2252000;;0;163,783
0471-2268;TOURS                                                       ;471000;2268000;;0;167,36
0471-2284;NEUILLE-PONT-PIERRE                                         ;471000;2284000;;0;0
0471-2300;LA CHARTRE-SUR-LE-LOIR                                      ;471000;2300000;;0;104,926
0471-2316;RUILLE-SUR-LOIR                                             ;471000;2316000;;0;178,212
0471-2332;BOULOIRE                                                    ;471000;2332000;;0;0
0471-2348;TUFFE                                                       ;471000;2348000;2015;0;105,209
0471-2364;LE THEIL                                                    ;471000;2364000;2016;0;0
0471-2380;NOCE                                                        ;471000;2380000;2014;0;155,007
0471-2396;MORTAGNE-AU-PERCHE                                          ;471000;2396000;;0;448,354
0471-2412;L'AIGLE                                                     ;471000;2412000;2014;0;124,111
0471-2428;LA FERTE-FRENEL                                             ;471000;2428000;2014;0;31,2737
0471-2444;BROGLIE                                                     ;471000;2444000;2015;0;84,4196
0471-2460;BERNAY                                                      ;471000;2460000;2014;0;51,7931
0471-2476;SAINT-GEORGES-DU-VIEVRE                                     ;471000;2476000;2014;1;105,5
0471-2492;QUILLEBEUF-SUR-SEINE                                        ;471000;2492000;2012;0;118,965
0471-2508;LILLEBONNE                                                  ;471000;2508000;2011;0;90,7014
0471-2524;OURVILLE-EN-CAUX                                            ;471000;2524000;2013;0;0
0471-2540;CANY-BARVILLE                                               ;471000;2540000;;0;106,5
0487-1756;SENTEIN                                                     ;487000;1756000;;1;284,573
0487-1772;SAINT-LARY                                                  ;487000;1772000;;0;577,086
0487-1788;SAINT-MARTORY                                               ;487000;1788000;;0;36,8454
0487-1804;AURIGNAC                                                    ;487000;1804000;;0;0
0487-1820;FABAS                                                       ;487000;1820000;;0;0
0487-1836;SAMATAN                                                     ;487000;1836000;;0;0
0487-1852;GIMONT                                                      ;487000;1852000;;0;23,5125
0487-1868;BRIGNEMONT                                                  ;487000;1868000;;0;52,2152
0487-1884;LAVIT                                                       ;487000;1884000;;0;0
0487-1900;SAINT-NICOLAS-DE-LA-GRAVE                                   ;487000;1900000;;0;75,8149
0487-1916;BEAUVILLE                                                   ;487000;1916000;;0;27,0559
0487-1932;PENNE-D'AGENAIS                                             ;487000;1932000;;0;69,5153
0487-1948;FUMEL                                                       ;487000;1948000;;0;0
0487-1964;MONPAZIER                                                   ;487000;1964000;;0;15,1659
0487-1980;LE BUISSON-DE-CADOUIN                                       ;487000;1980000;;0;12,4811
0487-1996;LE BUGUE                                                    ;487000;1996000;;0;0
0487-2012;SAINT-PIERRE-DE-CHIGNAC                                     ;487000;2012000;;0;0
0487-2028;SAVIGNAC-LES-EGLISES                                        ;487000;2028000;;0;38,4812
0487-2044;THIVIERS                                                    ;487000;2044000;;0;14,9401
0487-2060;SAINT-SAUD-LACOUSSIERE                                      ;487000;2060000;;0;0
0487-2076;CHALUS                                                      ;487000;2076000;2017;0;0
0487-2092;ROCHECHOUART                                                ;487000;2092000;;0;173,146
0487-2108;SAINT-JUNIEN                                                ;487000;2108000;2016;0;19,697
0487-2124;MEZIERES-SUR-ISSOIRE                                        ;487000;2124000;;0;0
0487-2140;ADRIERS                                                     ;487000;2140000;2016;0;27,1301
0487-2156;MONTMORILLON                                                ;487000;2156000;;0;34,4933
0487-2172;ANTIGNY                                                     ;487000;2172000;2017;0;0
0487-2188;PLEUMARTIN                                                  ;487000;2188000;2017;0;0
0487-2204;PREUILLY-SUR-CLAISE                                         ;487000;2204000;;0;0
0487-2220;LE GRAND-PRESSIGNY                                          ;487000;2220000;;0;0
0487-2236;LIGUEIL                                                     ;487000;2236000;;0;57,6963
0487-2252;ESVRES                                                      ;487000;2252000;2016;0;31,2066
0487-2268;MONTLOUIS-SUR-LOIRE                                         ;487000;2268000;;0;149,038
0487-2284;CHATEAU-RENAULT                                             ;487000;2284000;;0;40,4121
0487-2300;SAINT-MARTIN-DES-BOIS                                       ;487000;2300000;;0;238,25
0487-2316;SAVIGNY-SUR-BRAYE                                           ;487000;2316000;2015;0;20,774
0487-2332;SAINT-CALAIS                                                ;487000;2332000;2015;0;0
0487-2348;MELLERAY                                                    ;487000;2348000;;0;284,465
0487-2364;NOGENT-LE-ROTROU                                            ;487000;2364000;2016;0;186,414
0487-2380;REMALARD                                                    ;487000;2380000;;0;48,8133
0487-2396;LONGNY-AU-PERCHE                                            ;487000;2396000;2014;0;322,096
0487-2412;BOISSY-LES-PERCHE                                           ;487000;2412000;2014;0;171,891
0487-2428;LES BAUX-DE-BRETEUIL                                        ;487000;2428000;;0;107,105
0487-2444;BEAUMESNIL                                                  ;487000;2444000;;0;0
0487-2460;BEAUMONT-LE-ROGER                                           ;487000;2460000;2014;1;112,509
0487-2476;BOURGTHEROULDE-INFREVILLE                                   ;487000;2476000;2013;1;252,97
0487-2492;ROUTOT                                                      ;487000;2492000;2011;0;6,45393
0487-2508;YVETOT                                                      ;487000;2508000;2011;0;198,99
0487-2524;DOUDEVILLE                                                  ;487000;2524000;2013;0;0
0487-2540;SAINT-VALERY-EN-CAUX                                        ;487000;2540000;;0;0
0503-1740;COUFLENS                                                    ;503000;1740000;;0;0
0503-1756;OUST                                                        ;503000;1756000;;1;250,858
0503-1772;SAINT-GIRONS                                                ;503000;1772000;;3;855,913
0503-1788;SAINTE-CROIX-VOLVESTRE                                      ;503000;1788000;;1;234,003
0503-1804;MONTESQUIEU-VOLVESTRE                                       ;503000;1804000;;0;193,431
0503-1820;RIEUMES                                                     ;503000;1820000;;0;30,2331
0503-1836;SAINT-LYS                                                   ;503000;1836000;;0;76,3689
0503-1852;THIL                                                        ;503000;1852000;;0;223,189
0503-1868;BOUILLAC                                                    ;503000;1868000;;0;0
0503-1884;SAINT-SARDOS                                                ;503000;1884000;;0;19,188
0503-1900;CASTELSARRASIN                                              ;503000;1900000;;0;0
0503-1916;LAUZERTE                                                    ;503000;1916000;;0;0
0503-1932;MONTAIGU-DE-QUERCY                                          ;503000;1932000;;0;39,499
0503-1948;PUY-L'EVEQUE                                                ;503000;1948000;;0;7,60326
0503-1964;VILLEFRANCHE-DU-PERIGORD                                    ;503000;1964000;;0;6,43132
0503-1980;SAINT-CYPRIEN                                               ;503000;1980000;;0;69,7078
0503-1996;SARLAT-LA-CANEDA                                            ;503000;1996000;;0;1,3263
0503-2012;MONTIGNAC                                                   ;503000;2012000;;0;25,0917
0503-2028;HAUTEFORT                                                   ;503000;2028000;;0;63,1657
0503-2044;LANOUAILLE                                                  ;503000;2044000;;0;107,956
0503-2060;JUMILHAC-LE-GRAND                                           ;503000;2060000;;0;22,7346
0503-2076;NEXON                                                       ;503000;2076000;;0;0
0503-2092;AIXE-SUR-VIENNE                                             ;503000;2092000;;0;28,9862
0503-2108;NANTIAT                                                     ;503000;2108000;2016;0;0
0503-2124;BELLAC                                                      ;503000;2124000;2016;0;65,8393
0503-2140;MAGNAC-LAVAL                                                ;503000;2140000;2016;0;0
0503-2156;LA TRIMOUILLE                                               ;503000;2156000;2016;0;336,374
0503-2172;BELABRE                                                     ;503000;2172000;;0;0
0503-2188;LE BLANC                                                    ;503000;2188000;;0;0
0503-2204;AZAY-LE-FERRON                                              ;503000;2204000;;0;0
0503-2220;CLERE-DU-BOIS                                               ;503000;2220000;;0;10,4324
0503-2236;LOCHES                                                      ;503000;2236000;;0;28,2915
0503-2252;BLERE                                                       ;503000;2252000;;0;6,1004
0503-2268;AMBOISE                                                     ;503000;2268000;2016;0;77,3931
0503-2284;HERBAULT                                                    ;503000;2284000;2016;1;98,6069
0503-2300;SAINT-AMAND-LONGPRE                                         ;503000;2300000;;0;12,1013
0503-2316;VENDOME                                                     ;503000;2316000;2016;0;60,2035
0503-2332;DROUE                                                       ;503000;2332000;2016;0;0
0503-2348;ARROU                                                       ;503000;2348000;;0;0
0503-2364;THIRON-GARDAIS                                              ;503000;2364000;2016;0;134,518
0503-2380;LA LOUPE                                                    ;503000;2380000;2015;0;4,33209
0503-2396;SENONCHES                                                   ;503000;2396000;2014;0;193,76
0503-2412;VERNEUIL-SUR-AVRE                                           ;503000;2412000;;0;17,9465
0503-2428;DAMVILLE                                                    ;503000;2428000;2014;0;0
0503-2444;CONCHES-EN-OUCHE                                            ;503000;2444000;2013;0;18,134
0503-2460;LE NEUBOURG                                                 ;503000;2460000;2013;0;149,86
0503-2476;ELBEUF                                                      ;503000;2476000;2013;0;57,9599
0503-2492;ROUEN                                                       ;503000;2492000;2011;0;138,76
0503-2508;PAVILLY                                                     ;503000;2508000;2011;0;309,934
0503-2524;TOTES                                                       ;503000;2524000;2013;0;125,196
0503-2540;DIEPPE                                                      ;503000;2540000;;0;69,7993
0503-2556;DIEPPE NORD                                                 ;503000;2556000;;0;0
0519-1740;AULUS-LES-BAINS                                             ;519000;1740000;;0;0
0519-1756;USTOU                                                       ;519000;1756000;;0;495,915
0519-1772;MASSAT                                                      ;519000;1772000;;2;1100,92
0519-1788;LE MAS-D'AZIL                                               ;519000;1788000;;0;149,061
0519-1804;LE FOSSAT                                                   ;519000;1804000;;0;0
0519-1820;EAUNES                                                      ;519000;1820000;;0;89,9058
0519-1836;MURET                                                       ;519000;1836000;;0;7,42659
0519-1852;TOULOUSE                                                    ;519000;1852000;;0;153,861
0519-1868;FRONTON                                                     ;519000;1868000;;0;0
0519-1884;MONTAUBAN                                                   ;519000;1884000;;0;2,82912
0519-1900;LAFRANCAISE                                                 ;519000;1900000;;0;0
0519-1916;CASTELNAU-MONTRATIER                                        ;519000;1916000;;0;41,3268
0519-1932;LABASTIDE-MARNHAC                                           ;519000;1932000;;0;68,2349
0519-1948;LUZECH                                                      ;519000;1948000;;0;105,169
0519-1964;GOURDON                                                     ;519000;1964000;;0;0
0519-1980;DOMME                                                       ;519000;1980000;;0;104,424
0519-1996;SALIGNAC-EYVIGNES                                           ;519000;1996000;;0;0
0519-2012;TERRASSON-LAVILLEDIEU                                       ;519000;2012000;;0;12,9657
0519-2028;AYEN                                                        ;519000;2028000;;0;245,408
0519-2044;LUBERSAC                                                    ;519000;2044000;;0;0
0519-2060;SAINT-YRIEIX-LA-PERCHE                                      ;519000;2060000;;0;0
0519-2076;PIERRE-BUFFIERE                                             ;519000;2076000;;0;63,5078
0519-2092;LIMOGES                                                     ;519000;2092000;;0;82,3232
0519-2108;RILHAC-RANCON                                               ;519000;2108000;2015;0;0
0519-2124;CHATEAUPONSAC                                               ;519000;2124000;2015;0;59,4382
0519-2140;SAINT-LEGER-MAGNAZEIX                                       ;519000;2140000;2015;0;0
0519-2156;CHAILLAC                                                    ;519000;2156000;;0;16,212
0519-2172;PRISSAC                                                     ;519000;2172000;2016;0;10,5209
0519-2188;MIGNE                                                       ;519000;2188000;;0;0
0519-2204;MEZIERES-EN-BRENNE                                          ;519000;2204000;;0;134,916
0519-2220;CHATILLON-SUR-INDRE                                         ;519000;2220000;2016;0;1,85661
0519-2236;ECUEILLE                                                    ;519000;2236000;;0;0
0519-2252;SAINT-AIGNAN                                                ;519000;2252000;;0;30,6284
0519-2268;MONTRICHARD                                                 ;519000;2268000;;1;429,246
0519-2284;BLOIS                                                       ;519000;2284000;2016;0;44,1273
0519-2300;SELOMMES                                                    ;519000;2300000;2015;0;71,66
0519-2316;VIEVY-LE-RAYE                                               ;519000;2316000;;0;17,5437
0519-2332;CLOYES-SUR-LE-LOIR                                          ;519000;2332000;2015;1;250,736
0519-2348;CHATEAUDUN                                                  ;519000;2348000;;0;68,6537
0519-2364;ILLIERS-COMBRAY                                             ;519000;2364000;;0;81,1725
0519-2380;COURVILLE-SUR-EURE                                          ;519000;2380000;;0;84,7788
0519-2396;CHATEAUNEUF-EN-THYMERAIS                                    ;519000;2396000;;0;0
0519-2412;VERNOUILLET                                                 ;519000;2412000;;1;203,336
0519-2428;SAINT-ANDRE-DE-L'EURE                                       ;519000;2428000;;0;54,3398
0519-2444;EVREUX                                                      ;519000;2444000;2012;0;26,4701
0519-2460;GAILLON                                                     ;519000;2460000;2013;3;791,687
0519-2476;VAL-DE-REUIL                                                ;519000;2476000;;0;45,6855
0519-2492;BOOS                                                        ;519000;2492000;2011;0;230,883
0519-2508;QUINCAMPOIX                                                 ;519000;2508000;2011;1;527,974
0519-2524;SAINT-SAENS                                                 ;519000;2524000;2011;1;229,157
0519-2540;ENVERMEU                                                    ;519000;2540000;2011;0;416,022
0519-2556;CRIEL-SUR-MER                                               ;519000;2556000;;0;0
0535-1740;ASTON                                                       ;535000;1740000;;0;0
0535-1756;TARASCON-SUR-ARIEGE                                         ;535000;1756000;;0;958,246
0535-1772;FOIX                                                        ;535000;1772000;;0;1089,92
0535-1788;PAMIERS                                                     ;535000;1788000;;0;48,4169
0535-1804;SAVERDUN                                                    ;535000;1804000;;0;41,4613
0535-1820;AUTERIVE                                                    ;535000;1820000;;0;231,342
0535-1836;MONTGISCARD                                                 ;535000;1836000;;0;207,465
0535-1852;MONTASTRUC-LA-CONSEILLERE                                   ;535000;1852000;;0;0
0535-1868;VILLEMUR-SUR-TARN                                           ;535000;1868000;;0;0
0535-1884;MONCLAR-DE-QUERCY                                           ;535000;1884000;;0;0
0535-1900;NEGREPELISSE                                                ;535000;1900000;;0;2,29866
0535-1916;MONTPEZAT-DE-QUERCY                                         ;535000;1916000;;0;38,6346
0535-1932;CAHORS                                                      ;535000;1932000;;0;20,7764
0535-1948;SAINT-GERY                                                  ;535000;1948000;;0;10,6886
0535-1964;LABASTIDE-MURAT                                             ;535000;1964000;;0;0
0535-1980;PAYRAC                                                      ;535000;1980000;;0;0
0535-1996;SOUILLAC                                                    ;535000;1996000;;0;53,8547
0535-2012;BRIVE-LA-GAILLARDE                                          ;535000;2012000;;0;0
0535-2028;DONZENAC                                                    ;535000;2028000;;0;64,2525
0535-2044;VIGEOIS                                                     ;535000;2044000;;0;53,8593
0535-2060;SAINT-GERMAIN-LES-BELLES                                    ;535000;2060000;;0;11,4933
0535-2076;LINARDS                                                     ;535000;2076000;;0;0
0535-2092;SAINT-LEONARD-DE-NOBLAT                                     ;535000;2092000;;0;14,0658
0535-2108;AMBAZAC                                                     ;535000;2108000;2015;0;0
0535-2124;LAURIERE                                                    ;535000;2124000;2015;0;21,6196
0535-2140;LA SOUTERRAINE                                              ;535000;2140000;2015;0;0
0535-2156;EGUZON-CHANTOME                                             ;535000;2156000;;0;8,66418
0535-2172;ARGENTON-SUR-CREUSE                                         ;535000;2172000;;0;3,62481
0535-2188;SAINT-GAULTIER                                              ;535000;2188000;;0;42,1686
0535-2204;BUZANCAIS                                                   ;535000;2204000;2014;0;166,235
0535-2220;ARGY                                                        ;535000;2220000;;0;0
0535-2236;VALENCAY                                                    ;535000;2236000;;0;75,7595
0535-2252;SELLES-SUR-CHER                                             ;535000;2252000;2015;0;144,339
0535-2268;CONTRES                                                     ;535000;2268000;2016;0;0
0535-2284;VINEUIL                                                     ;535000;2284000;2017;0;210,372
0535-2300;MER                                                         ;535000;2300000;;0;0
0535-2316;OUZOUER-LE-MARCHE                                           ;535000;2316000;;0;11,0405
0535-2332;VERDES                                                      ;535000;2332000;;0;114,39
0535-2348;BONNEVAL                                                    ;535000;2348000;2016;0;0
0535-2364;LE GAULT-SAINT-DENIS                                        ;535000;2364000;;0;0
0535-2380;CHARTRES                                                    ;535000;2380000;2016;0;95,4082
0535-2396;NOGENT-LE-ROI                                               ;535000;2396000;;0;22,893
0535-2412;DREUX                                                       ;535000;2412000;2014;0;31,5199
0535-2428;ANET                                                        ;535000;2428000;;0;26,7899
0535-2444;PACY-SUR-EURE                                               ;535000;2444000;2014;0;27,494
0535-2460;VERNON                                                      ;535000;2460000;2015;0;197,999
0535-2476;LES ANDELYS                                                 ;535000;2476000;2013;0;180,079
0535-2492;LYONS-LA-FORET                                              ;535000;2492000;2012;0;30,342
0535-2508;ARGUEIL                                                     ;535000;2508000;2011;0;371,104
0535-2524;NEUFCHATEL-EN-BRAY                                          ;535000;2524000;2011;0;76,7376
0535-2540;LONDINIERES                                                 ;535000;2540000;2011;0;380,557
0535-2556;EU                                                          ;535000;2556000;2011;0;380,898
0535-2572;AULT                                                        ;535000;2572000;;0;14,2248
0535-2588;BAIE DE SOMME                                               ;535000;2588000;;0;0
0551-1724;PORTA                                                       ;551000;1724000;;0;0
0551-1740;AX-LES-THERMES                                              ;551000;1740000;;1;122,928
0551-1756;LES CABANNES                                                ;551000;1756000;;1;1745,68
0551-1772;MONTGAILLARD                                                ;551000;1772000;;2;1051,39
0551-1788;LAPENNE                                                     ;551000;1788000;;0;21,3744
0551-1804;BELPECH                                                     ;551000;1804000;;0;76,0654
0551-1820;VILLEFRANCHE-DE-LAURAGAIS                                   ;551000;1820000;;0;31,4583
0551-1836;CARAMAN                                                     ;551000;1836000;;0;0,74016
0551-1852;LAVAUR                                                      ;551000;1852000;;0;0
0551-1868;RABASTENS                                                   ;551000;1868000;;0;0
0551-1884;CASTELNAU-DE-MONTMIRAL                                      ;551000;1884000;;0;46,3734
0551-1900;SAINT-ANTONIN-NOBLE-VAL                                     ;551000;1900000;;1;91,3842
0551-1916;CAYLUS                                                      ;551000;1916000;;0;74,2005
0551-1932;LIMOGNE-EN-QUERCY                                           ;551000;1932000;;0;25,4621
0551-1948;MARCILHAC-SUR-CELE                                          ;551000;1948000;;0;45,4789
0551-1964;CANIAC-DU-CAUSSE                                            ;551000;1964000;;0;1,85661
0551-1980;GRAMAT                                                      ;551000;1980000;;0;138,124
0551-1996;VAYRAC                                                      ;551000;1996000;;1;327,862
0551-2012;BEYNAT                                                      ;551000;2012000;;0;229,915
0551-2028;TULLE                                                       ;551000;2028000;;1;229,006
0551-2044;SEILHAC                                                     ;551000;2044000;;0;46,611
0551-2060;TREIGNAC                                                    ;551000;2060000;;0;242,251
0551-2076;EYMOUTIERS                                                  ;551000;2076000;;0;12,4644
0551-2092;PEYRAT-LE-CHATEAU                                           ;551000;2092000;;0;0
0551-2108;BOURGANEUF                                                  ;551000;2108000;2015;0;9,7251
0551-2124;LE GRAND-BOURG                                              ;551000;2124000;2015;0;102,358
0551-2140;SAINT-VAURY                                                 ;551000;2140000;2015;0;253,949
0551-2156;SAINT-PLANTAIRE                                             ;551000;2156000;2015;0;130,047
0551-2172;CLUIS                                                       ;551000;2172000;;0;2,56389
0551-2188;LE POINCONNET                                               ;551000;2188000;;0;40,5538
0551-2204;CHATEAUROUX                                                 ;551000;2204000;2014;0;79,1407
0551-2220;LEVROUX                                                     ;551000;2220000;2014;0;43,8285
0551-2236;SAINT-CHRISTOPHE-EN-BAZELLE                                 ;551000;2236000;;0;0
0551-2252;CHABRIS                                                     ;551000;2252000;2015;0;239,446
0551-2268;ROMORANTIN-LANTHENAY                                        ;551000;2268000;2014;0;0
0551-2284;DHUIZON                                                     ;551000;2284000;;0;6,36552
0551-2300;SAINT-LAURENT-NOUAN                                         ;551000;2300000;;0;0
0551-2316;MEUNG-SUR-LOIRE                                             ;551000;2316000;2014;1;171,317
0551-2332;PATAY                                                       ;551000;2332000;;0;0
0551-2348;ORGERES-EN-BEAUCE                                           ;551000;2348000;;0;0
0551-2364;VOVES                                                       ;551000;2364000;;0;0
0551-2380;AUNEAU                                                      ;551000;2380000;2014;0;257,097
0551-2396;MAINTENON                                                   ;551000;2396000;;0;24,9824
0551-2412;LA BOISSIERE-ECOLE                                          ;551000;2412000;;0;117,556
0551-2428;HOUDAN                                                      ;551000;2428000;2014;1;275,607
0551-2444;MANTES-LA-JOLIE                                             ;551000;2444000;2014;0;517,769
0551-2460;ECOS                                                        ;551000;2460000;2012;1;996,051
0551-2476;ETREPAGNY                                                   ;551000;2476000;2012;0;109,581
0551-2492;GOURNAY-EN-BRAY                                             ;551000;2492000;2012;0;229,088
0551-2508;BREMONTIER-MERVAL                                           ;551000;2508000;;0;61,9831
0551-2524;FORMERIE                                                    ;551000;2524000;2011;0;322,862
0551-2540;BLANGY-SUR-BRESLE                                           ;551000;2540000;2011;1;563,609
0551-2556;GAMACHES                                                    ;551000;2556000;;0;444,138
0551-2572;SAINT-VALERY-SUR-SOMME                                      ;551000;2572000;;0;141,67
0551-2588;RUE                                                         ;551000;2588000;2011;0;15,5964
0551-2604;BERCK                                                       ;551000;2604000;2011;0;163,432
0551-2620;ETAPLES                                                     ;551000;2620000;2010;0;360,294
0551-2636;BOULOGNE-SUR-MER                                            ;551000;2636000;2010;1;574,597
0551-2652;MARQUISE                                                    ;551000;2652000;2011;0;16,798
0551-2668;SANGATTE                                                    ;551000;2668000;;0;0
0567-1708;OSSEJA                                                      ;567000;1708000;;0;0
0567-1724;ANGOUSTRINE-VILLENEUVE-DES-ESCALDES                         ;567000;1724000;;0;35,3434
0567-1740;ORLU                                                        ;567000;1740000;;0;196,92
0567-1756;BELCAIRE                                                    ;567000;1756000;;0;446,464
0567-1772;CHALABRE                                                    ;567000;1772000;;0;563,937
