qd;quadrat;xl2e;yl2e;annee;nb_frenaie;volume17
0215-2396;PLOUFRAGAN                                                  ;215000;2396000;;0;84,1245
0215-2412;ETABLES-SUR-MER                                             ;215000;2412000;;0;269,669
0215-2428;PLOUHA                                                      ;215000;2428000;;0;0
0215-2444;ILE-DE-BREHAT                                               ;215000;2444000;;0;0
0231-2204;L'ILE-D'YEU - OUEST                                         ;231000;2204000;;0;0
0231-2268;LE CROISIC                                                  ;231000;2268000;;0;0
0231-2284;PENESTIN                                                    ;231000;2284000;;0;0
0231-2300;MUZILLAC                                                    ;231000;2300000;;0;0
0231-2316;ELVEN                                                       ;231000;2316000;;0;0
0231-2332;JOSSELIN                                                    ;231000;2332000;;0;0
0231-2348;LA TRINITE-PORHOET                                          ;231000;2348000;;0;0
0231-2364;LA CHEZE                                                    ;231000;2364000;;0;0
0231-2380;PLOUGUENAST                                                 ;231000;2380000;;0;0
0231-2396;SAINT-BRIEUC                                                ;231000;2396000;;0;80,0872
0231-2412;PLERIN                                                      ;231000;2412000;;0;114,764
0247-2204;L'ILE-D'YEU - EST                                           ;247000;2204000;;0;0
0247-2220;LA GUERINIERE                                               ;247000;2220000;;0;0
0247-2236;NOIRMOUTIER-EN-L'ILE                                        ;247000;2236000;;0;0
0247-2252;PREFAILLES                                                  ;247000;2252000;;0;0
0247-2268;SAINT-NAZAIRE                                               ;247000;2268000;;0;0
0247-2284;HERBIGNAC                                                   ;247000;2284000;;0;0
0247-2300;QUESTEMBERT                                                 ;247000;2300000;;0;15,7739
0247-2316;MALESTROIT                                                  ;247000;2316000;;0;0
0247-2332;PLOERMEL                                                    ;247000;2332000;;0;0
0247-2348;MAURON                                                      ;247000;2348000;;0;87,2834
0247-2364;MERDRIGNAC                                                  ;247000;2364000;;0;0
0247-2380;COLLINEE                                                    ;247000;2380000;;0;0
0247-2396;LAMBALLE                                                    ;247000;2396000;;0;97,1224
0247-2412;PLENEUF-VAL-ANDRE                                           ;247000;2412000;;0;137,21
0263-1820;HENDAYE                                                     ;263000;1820000;;0;0
0263-1836;URRUGNE                                                     ;263000;1836000;;0;0
0263-2204;SAINT-JEAN-DE-MONTS                                         ;263000;2204000;;0;0
0263-2220;BEAUVOIR-SUR-MER                                            ;263000;2220000;;0;0
0263-2236;LA BERNERIE-EN-RETZ                                         ;263000;2236000;;0;0
0263-2252;PORNIC                                                      ;263000;2252000;;0;0
0263-2268;MONTOIR-DE-BRETAGNE                                         ;263000;2268000;;0;20,4227
0263-2284;PONTCHATEAU                                                 ;263000;2284000;;0;1,32615
0263-2300;REDON                                                       ;263000;2300000;;0;0
0263-2316;LA GACILLY                                                  ;263000;2316000;;0;15,987
0263-2332;GUER                                                        ;263000;2332000;;0;92,0275
0263-2348;PLELAN-LE-GRAND                                             ;263000;2348000;;0;0
0263-2364;SAINT-MEEN-LE-GRAND                                         ;263000;2364000;;0;0
0263-2380;BROONS                                                      ;263000;2380000;;0;0
0263-2396;PLELAN-LE-PETIT                                             ;263000;2396000;;1;155,952
0263-2412;PLOUBALAY                                                   ;263000;2412000;;0;26,5725
0263-2428;FREHEL                                                      ;263000;2428000;;0;0
0279-1820;SAINT-PEE-SUR-NIVELLE                                       ;279000;1820000;;0;553,23
0279-1836;SAINT-JEAN-DE-LUZ                                           ;279000;1836000;;0;107,882
0279-2172;LES SABLES-D'OLONNE                                         ;279000;2172000;;0;0
0279-2188;OLONNE-SUR-MER                                              ;279000;2188000;;0;0
0279-2204;SAINT-GILLES-CROIX-DE-VIE                                   ;279000;2204000;;0;0
0279-2220;CHALLANS                                                    ;279000;2220000;;0;6,89598
0279-2236;BOURGNEUF-EN-RETZ                                           ;279000;2236000;;0;13,2615
0279-2252;LE PELLERIN                                                 ;279000;2252000;;0;0
0279-2268;SAVENAY                                                     ;279000;2268000;;0;0
0279-2284;GUENROUET                                                   ;279000;2284000;;0;38,3564
0279-2300;GUEMENE-PENFAO                                              ;279000;2300000;;0;0
0279-2316;PIPRIAC                                                     ;279000;2316000;;0;0
0279-2332;MAURE-DE-BRETAGNE                                           ;279000;2332000;;0;0
0279-2348;MONTFORT-SUR-MEU                                            ;279000;2348000;;0;0
0279-2364;MONTAUBAN-DE-BRETAGNE                                       ;279000;2364000;2016;0;0
0279-2380;EVRAN                                                       ;279000;2380000;;1;45,9662
0279-2396;DINAN                                                       ;279000;2396000;;0;103,842
0279-2412;SAINT-MALO                                                  ;279000;2412000;;0;13,0847
0279-2428;ROTHENEUF                                                   ;279000;2428000;;0;0
0295-1788;UREPEL                                                      ;295000;1788000;;0;0
0295-1804;SAINT-ETIENNE-DE-BAIGORRY                                   ;295000;1804000;;0;8,6944
0295-1820;ESPELETTE                                                   ;295000;1820000;;1;187,104
0295-1836;BAYONNE                                                     ;295000;1836000;;0;653,469
0295-1852;CAPBRETON                                                   ;295000;1852000;;0;66,6563
0295-1868;SEIGNOSSE                                                   ;295000;1868000;;0;0
0295-1884;MOLIETS-ET-MAA                                              ;295000;1884000;;0;0
0295-2140;ARS-EN-RE                                                   ;295000;2140000;;0;0
0295-2156;SAINT-VINCENT-SUR-JARD                                      ;295000;2156000;;0;0
0295-2172;TALMONT-SAINT-HILAIRE                                       ;295000;2172000;;0;43,2799
0295-2188;LA MOTHE-ACHARD                                             ;295000;2188000;;0;0
0295-2204;PALLUAU                                                     ;295000;2204000;;0;0
0295-2220;LEGE                                                        ;295000;2220000;;0;4,24368
0295-2236;SAINT-PHILBERT-DE-GRAND-LIEU                                ;295000;2236000;;0;105,64
0295-2252;SAINT-HERBLAIN                                              ;295000;2252000;;0;135,918
0295-2268;SAINT-ETIENNE-DE-MONTLUC                                    ;295000;2268000;;0;0
0295-2284;BLAIN                                                       ;295000;2284000;;0;37,4144
0295-2300;DERVAL                                                      ;295000;2300000;;0;0
0295-2316;GRAND-FOUGERAY                                              ;295000;2316000;;1;128,606
0295-2332;GUICHEN                                                     ;295000;2332000;;0;0
0295-2348;RENNES                                                      ;295000;2348000;;0;0
0295-2364;PACE                                                        ;295000;2364000;2017;0;0
0295-2380;COMBOURG                                                    ;295000;2380000;;0;0
0295-2396;DOL-DE-BRETAGNE                                             ;295000;2396000;;0;15,6885
0295-2412;CANCALE                                                     ;295000;2412000;;0;42,7028
0295-2428;CANCALE-NORD                                                ;295000;2428000;;0;0
0295-2444;CHAUSEY                                                     ;295000;2444000;;0;0
0295-2492;BARNEVILLE-CARTERET                                         ;295000;2492000;;0;0
0295-2508;LES PIEUX                                                   ;295000;2508000;;0;0
0295-2524;BEAUMONT-HAGUE                                              ;295000;2524000;;0;99,2426
0295-2540;SAINT-GERMAIN-DES-VAUX                                      ;295000;2540000;;0;0
0311-1788;ESTERENCUBY                                                 ;311000;1788000;;0;56,3563
0311-1804;SAINT-JEAN-PIED-DE-PORT                                     ;311000;1804000;;0;265,871
0311-1820;IHOLDY                                                      ;311000;1820000;;1;5,83521
0311-1836;LA BASTIDE-CLAIRENCE                                        ;311000;1836000;;0;119,779
0311-1852;SAINT-VINCENT-DE-TYROSSE                                    ;311000;1852000;;0;52,6796
0311-1868;SOUSTONS                                                    ;311000;1868000;;0;0
0311-1884;LINXE                                                       ;311000;1884000;;0;0
0311-1900;LIT-ET-MIXE                                                 ;311000;1900000;;0;0
0311-1916;MIMIZAN                                                     ;311000;1916000;;0;0
0311-1932;SAINTE-EULALIE-EN-BORN                                      ;311000;1932000;;0;0
0311-1948;SANGUINET                                                   ;311000;1948000;;0;0
0311-1964;ARCACHON                                                    ;311000;1964000;;0;0
0311-1980;LEGE-CAP-FERRET                                             ;311000;1980000;;0;0
0311-1996;LE PORGE - LITTORAL                                         ;311000;1996000;;0;0
0311-2108;SAINT-PIERRE-D'OLERON                                       ;311000;2108000;;0;4,244
0311-2124;SAINT-DENIS-D'OLERON                                        ;311000;2124000;;0;0
0311-2140;SAINT-MARTIN-DE-RE                                          ;311000;2140000;;0;0
0311-2156;LA TRANCHE-SUR-MER                                          ;311000;2156000;;0;0
0311-2172;MOUTIERS-LES-MAUXFAITS                                      ;311000;2172000;;0;66,1893
0311-2188;LA ROCHE-SUR-YON                                            ;311000;2188000;;0;0
0311-2204;LE POIRE-SUR-VIE                                            ;311000;2204000;;0;0
0311-2220;ROCHESERVIERE                                               ;311000;2220000;;0;70,6166
0311-2236;AIGREFEUILLE-SUR-MAINE                                      ;311000;2236000;;0;36,3883
0311-2252;NANTES                                                      ;311000;2252000;;0;27,3188
0311-2268;CARQUEFOU                                                   ;311000;2268000;;0;0
0311-2284;NORT-SUR-ERDRE                                              ;311000;2284000;;0;0
